train,stations
train_986,"[Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Schiphol Airport, Utrecht Centraal, Hilversum, Amsterdam Amstel, Utrecht Centraal]"
train_998,"[Amersfoort, Zwolle, Almelo, Zwolle, Amersfoort, Apeldoorn]"
train_1017,"[s-Hertogenbosch, Eindhoven, Tilburg, Breda, Tilburg, Eindhoven, Weert, Eindhoven, Tilburg, Eindhoven, Weert]"
train_1016,"[Heerlen, Sittard, Roermond, Sittard, Heerlen, Sittard, Heerlen, Sittard, Roermond, Weert, Eindhoven, Tilburg]"
train_1007,"[Assen, Zwolle, Almelo, Deventer, Almelo, Zwolle]"
train_1004,"[Groningen, Leeuwarden, Groningen, Leeuwarden, Groningen, Assen, Groningen]"
train_1015,"[Amersfoort, Zwolle, Assen, Groningen, Leeuwarden, Heerenveen, Steenwijk, Heerenveen]"
train_981,"[Almere Centrum, Hilversum, Almere Centrum, Hilversum, Almere Centrum, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal]"
train_1018,"[Etten-Leur, Roosendaal, Vlissingen, Roosendaal]"
train_1014,"[Rotterdam Centraal, Dordrecht, Roosendaal, Etten-Leur, Breda, Etten-Leur, Breda, Tilburg, Eindhoven, Tilburg, Eindhoven, Helmond]"
train_972,"[Assen, Groningen, Leeuwarden, Groningen, Leeuwarden, Heerenveen, Leeuwarden, Heerenveen]"
train_992,"[Arnhem Centraal, Dieren, Zutphen, Apeldoorn, Deventer, Zwolle, Amersfoort, Utrecht Centraal, s-Hertogenbosch, Utrecht Centraal]"
train_991,"[Hoorn, Zaandam, Castricum, Zaandam, Castricum, Alkmaar, Castricum, Alkmaar, Den Helder, Alkmaar, Castricum]"
train_1010,"[Maastricht, Sittard, Maastricht, Sittard, Roermond, Weert, Eindhoven, Helmond, Venlo, Helmond]"
train_1019,"[Vlissingen, Roosendaal, Vlissingen]"
train_987,"[Lelystad Centrum, Almere Centrum, Lelystad Centrum, Almere Centrum, Amsterdam Amstel, Utrecht Centraal, Gouda, Den Haag HS, Leiden Centraal, Schiphol Airport, Leiden Centraal]"
train_1005,"[Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Schiphol Airport, Leiden Centraal, Alphen a/d Rijn, Utrecht Centraal, Amersfoort]"
train_1001,"[Gouda, Den Haag Laan v NOI, Leiden Centraal, Den Haag Laan v NOI, Delft, Schiedam Centrum, Delft, Den Haag Centraal, Leiden Centraal, Den Haag Laan v NOI, Delft, Den Haag Laan v NOI, Delft, Den Haag Laan v NOI]"
train_996,"[Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Hilversum, Utrecht Centraal, Amsterdam Amstel, Hilversum, Utrecht Centraal, Hilversum]"
train_1020,"[Breda, Tilburg, Breda, Etten-Leur, Roosendaal, Vlissingen, Roosendaal]"
score,4577.0
