p,t,min,k
1.0,5,406.0,9094.0
1.0,5,406.0,9094.0
1.0,5,404.0,9096.0
1.0,5,404.0,9096.0
1.0,5,404.0,9096.0
1.0,5,404.0,9096.0
1.0,5,404.0,9096.0
1.0,5,404.0,9096.0
1.0,5,404.0,9096.0
1.0,5,404.0,9096.0
1.0,5,400.0,9100.0
1.0,5,400.0,9100.0
1.0,5,398.0,9102.0
1.0,5,398.0,9102.0
1.0,5,396.0,9104.0
1.0,5,396.0,9104.0
1.0,5,396.0,9104.0
1.0,5,396.0,9104.0
1.0,5,396.0,9104.0
1.0,5,396.0,9104.0
1.0,5,396.0,9104.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,390.0,9110.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,389.0,9111.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
1.0,5,382.0,9118.0
